id,en,zh,ko,ja,ru,sp,fr,it,ge
id_1,0.49,1.00,500,120,15,0.49,0.49,0.49,0.49
id_6,1.69,6.00,1200,120,75,1.09,1.09,1.09,1.09
id_12,3.49,12.00,2500,240,149,2.29,2.29,2.29,2.29
id_18,4.99,18.00,3900,360,229,3.49,3.49,3.49,3.49
id_30,8.99,30.00,5900,600,379,5.49,5.49,5.49,5.49
id_48,13.99,48.00,9900,960,599,8.99,8.99,8.99,8.99
id_75,18.99,75.00,14000,1300,849,11.99,11.99,11.99,11.99
id_98,25.99,98.00,19000,1800,1150,16.99,16.99,16.99,16.99
id_128,34.99,128.00,25000,2400,1490,21.99,21.99,21.99,21.99
id_248,64.99,248.00,47000,4600,2890,41.99,41.99,41.99,41.99
id_328,89.99,328.00,65000,6000,3790,54.99,54.99,54.99,54.99
id_648,169.99,648.00,119000,11800,7490,109.99,109.99,109.99,109.99
