EndlessWaves_Easy_Hard,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier
enemy_13,0,10,1.2,1.2
#reward,800,,,
,,,Wave 1,
enemy_13,0,20,1.15,1.2
#reward,800,,,
,,,Wave 2,
enemy_13,0,30,1.05,1.2
#reward,800,,,
,,,Wave 3,
boss_wayno,0,1,15,4.5
enemy_13,0,10,1.2,1.3
enemy_11,3,5,0.6,1.3
enemy_7,1,25,0.35,1.3
enemy_11,3,10,0.5,1.3
enemy_7,1,40,0.3,1.3
#reward,800,,,
,,,Wave 4,
boss_wayno,0,2,15,4.5
enemy_7,0,25,0.3,1.3
enemy_12,2,15,1,1.3
enemy_8,0,10,0.45,1.3
enemy_7,5,20,0.2,1.3
enemy_13,5,15,1.1,1.3
#reward,800,,,
,,,Wave 5,
enemy_12,2,20,0.7,1.3
enemy_12,2,20,0.65,1.3
#reward,800,,,
,,,Wave 6,
enemy_7,0,30,0.35,1.35
enemy_10,5,15,0.3,1.35
enemy_10,0,15,0.25,1.35
enemy_13,3,15,1,1.2
#reward,800,,,
,,,Wave 7,
enemy_12,2,20,0.65,1.35
enemy_12,2,20,0.6,1.35
#reward,800,,,
,,,Wave 8,
enemy_12,2,20,0.55,1.35
enemy_13,1,25,1,1.2
#reward,800,,,
,,,Wave 9,
boss_wayno,2,1,1,4.5
enemy_12,2,20,0.55,1.35
enemy_13,0,30,1,1.2
#reward,800,,,
,,,Wave 10,
