Hard_0_4L,,,,,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier, Path,,,
enemy_1,0,10,0.5,,0,,,
#reward,100,,,,,,,
,,,Wave 1,,,,,
enemy_1,0,10,0.5,,1,,,
#reward,100,,,,,,,
,,,Wave 2,,,,,
enemy_1,0,20,0.5,,0,,,
enemy_1,8,20,0.5,,1,,,
#reward,100,,,,,,,
,,,Wave 3,,,,,
enemy_1,0,20,0.5,,1,,,
enemy_1,8,20,1,,2,,,
#reward,100,,,,,,,
,,,Wave 4,,,,,
enemy_1,0,30,0.5,,2,,,
enemy_1,8,30,0.5,,3,,,
#reward,100,,,,,,,
,,,Wave 5,,,,,
enemy_2,0,5,1,,1,,,
enemy_2,0,5,1.5,,0,,,
#reward,100,,,,,,,
,,,Wave 6,,,,,
enemy_1,0,20,0.5,,2,,,
enemy_1,0,20,0.5,,3,,,
enemy_2,20,5,1,0.6,0,,,
enemy_2,20,5,1.5,0.6,1,,,
#reward,100,,,,,,,
,,,Wave 7,,,,,
enemy_2,0,5,0.5,0.7,0,,,
enemy_2,6,5,0.5,0.7,1,,,
enemy_1,12,20,0.3,,2,,,
enemy_1,12,20,0.6,,3,,,
enemy_3,27,3,1,,0,,,
#reward,100,,,,,,,
,,,Wave 8,,,,,
enemy_2,0,5,0.5,,0,,,
enemy_2,6,5,0.5,,1,,,
enemy_1,12,20,0.3,,2,,,
enemy_3,20,3,1,0.7,1,,,
enemy_2,24,5,0.5,0.8,3,,,
#reward,100,,,,,,,
,,,Wave 9,,,,,
enemy_1,0,10,0.5,,0,,,
enemy_1,0,10,0.5,,2,,,
enemy_1,0,10,0.5,,1,,,
enemy_1,0,10,0.5,,3,,,
enemy_2,4,2,1,,0,,,
enemy_2,5,3,1.5,0.8,2,,,
enemy_2,4,2,1,,1,,,
enemy_2,5,3,1,0.8,3,,,
enemy_1,5,3,0.5,,0,,,
enemy_1,5,5,0.5,,2,,,
enemy_1,5,10,0.5,,1,,,
enemy_1,5,10,0.5,0.9,3,,,
#horde,,,,,,,,
#reward,100,,,,,,,
,,,Wave 10,,,,,
enemy_4,0,5,1,,0,,,
enemy_3,6,5,0.8,,3,,,
enemy_2,6,15,0.6,,0,,,
enemy_2,12,15,0.6,,3,,,
#reward,200,,,,,,,
,,,Wave 11,,,,,
enemy_3,0,5,0.6,,0,,,
enemy_2,6,10,0.6,,3,,,
enemy_4,9,10,0.6,,0,,,
enemy_3,6,15,0.6,,3,,,
enemy_2,6,10,0.6,,0,,,
#reward,200,,,,0,,,
,,,Wave 12,,,,,
enemy_4,0,5,1,,0,,,
enemy_1,6,30,0.3,,3,,,
enemy_3,6,10,1,,3,,,
enemy_4,6,5,1,,0,,,
#reward,200,,,,,,,
,,,Wave 13,,,,,
enemy_2,0,15,0.6,,0,,,
enemy_1,6,25,0.6,,3,,,
enemy_3,6,30,0.6,,0,,,
enemy_4,6,20,1,,3,,,
enemy_2,2,15,0.6,,0,,,
enemy_3,1,10,0.6,,3,,,
enemy_3,1,10,0.6,,2,,,
#reward,200,,,,,,,
,,,Wave 14,,,,,
enemy_5,0,5,0.6,,1,,,
enemy_5,10,5,1,0.8,2,,,
enemy_2,5,15,0.6,,0,,,
enemy_2,4,20,0.6,,1,,,
enemy_5,15,5,1,,0,,,
#horde,,,,,,,,
#reward,200,,,,,,,
,,,Wave 15,,,,,
enemy_5,0,20,1,,3,,,
enemy_1,5,20,0.3,,2,,,
enemy_5,5,20,1,,0,,,
#reward,200,,,,,,,
,,,Wave 16,,,,,
enemy_5,0,5,0.8,,1,,,
enemy_5,7,5,0.6,,2,,,
enemy_3,3,10,0.3,,2,,,
enemy_4,7,10,0.5,,1,,,
enemy_5,10,10,0.8,,2,,,
enemy_4,2,10,0.5,,2,,,
#reward,200,,,,,,,
,,,Wave 17,,,,,
enemy_5,0,5,0.5,,0,,,
enemy_1,5,20,0.3,,3,,,
enemy_2,6,10,0.3,,1,,,
#reward,200,,,,,,,
,,,Wave 18,,,,,
,,,,,,,,
enemy_4,0,10,0.6,,1,,,
enemy_3,15,30,0.6,,2,,,
enemy_4,6,10,0.6,,1,,,
enemy_5,8,10,0.6,,1,,,
#reward,200,,,,,,,
,,,Wave 19,,,,,
enemy_5,0,10,0.5,,0,,,
enemy_1,3,20,0.3,,0,,,
enemy_4,10,10,0.5,,1,,,
enemy_5,15,10,0.5,0.7,2,,,
enemy_1,16,20,0.3,,3,,,
enemy_4,16,10,0.3,,0,,,
enemy_4,16,10,0.6,,1,,,
enemy_4,16,10,0.9,0.8,2,,,
enemy_4,16,10,1.2,0.7,3,,,
#horde,,,,,,,,
#reward,300,,,,,,,
,,,Wave 20,,,,,
enemy_2,0,30,0.5,,3,,,
enemy_2,6,30,0.5,,1,,,
enemy_6,8,2,0.5,,1,,,
enemy_6,10,2,1,,3,,,
#reward,300,,,,,,,
,,,Wave 21,,,,,
enemy_2,0,30,0.5,,3,,,
enemy_6,3,2,1,,1,,,
enemy_3,0,15,0.5,,3,,,
enemy_5,10,20,0.4,,1,,,
enemy_6,10,2,1,,1,,,
#reward,300,,,,,,,
,,,Wave 22,,,,,
enemy_6,0,5,0.8,0.5,0,,,
enemy_6,0,5,1.2,0.5,1,,,
enemy_4,8,10,0.9,,2,,,
enemy_5,8,10,1.2,,3,,,
#reward,300,,,,,,,
,,,Wave 23,,,,,
enemy_6,0,5,0.5,0.5,3,,,
enemy_5,5,10,0.5,,1,,,
enemy_6,8,5,0.5,0.5,3,,,
enemy_5,5,10,0.5,,1,,,
#reward,300,,,,,,,
,,,Wave 24,,,,,
enemy_6,0,5,0.8,0.5,0,,,
enemy_6,0,5,1.2,0.5,1,,,
