Hard_2_2L,,,,,
Enemy Type,Initial Spawn Delay,Enemy Count,Enemy Spawn Interval, Speed Multiplier, Path
enemy_1,0,10,0.7,,0
#reward,100,,,,
,,,Wave 1,,
enemy_1,0,10,0.7,,1
#reward,100,,,,
,,,Wave 2,,
enemy_1,0,10,0.5,,0
enemy_1,10,10,0.5,,1
#reward,100,,,,
,,,Wave 3,,
enemy_2,0,5,0.7,,0
enemy_2,7,5,0.7,,1
enemy_1,7,20,0.5,,0
enemy_1,20,20,0.5,,1
#reward,100,,,,
,,,Wave 4,,
enemy_1,0,15,0.5,,0
enemy_2,15,5,0.7,,0
enemy_1,15,15,0.5,,1
enemy_2,8,5,0.7,,1
#reward,100,,,,
,,,Wave 5,,
enemy_3,0,1,0.6,,0
enemy_1,1,15,0.5,,1
enemy_2,8,5,0.6,,0
#reward,100,,,,
,,,Wave 6,,
enemy_2,0,15,0.5,,0
enemy_3,6,2,0.6,,0
enemy_1,6,15,0.5,,1
enemy_2,6,15,0.5,,1
#reward,100,,,,
,,,Wave 7,,
enemy_2,0,15,0.5,,0
enemy_3,6,2,0.6,,1
enemy_3,6,2,0.6,,0
enemy_2,6,15,0.5,,1
enemy_1,6,15,0.5,,0
enemy_3,6,2,0.6,,1
#reward,100,,,,
,,,Wave 8,,
enemy_2,0,25,0.5,0.5,1
enemy_3,5,3,0.5,0.5,1
enemy_2,6,25,0.5,0.5,0
enemy_3,5,3,0.5,0.5,0
#reward,100,,,,
,,,Wave 9,,
enemy_2,0,25,0.4,0.5,0
enemy_1,5,10,0.4,0.5,1
enemy_3,5,20,0.4,0.5,0
enemy_2,5,25,0.4,0.5,1
enemy_3,5,25,0.4,0.5,1
#horde,,,,,
#reward,100,,,,
,,,Wave 10,,
enemy_4,0,5,0.6,,0
enemy_4,6,5,0.6,,1
enemy_3,6,15,0.6,,0
enemy_2,6,15,0.6,,1
enemy_1,0,10,0.6,,0
#reward,200,,,,
,,,Wave 11,,
enemy_3,0,20,0.6,,0
enemy_2,6,15,0.6,,1
enemy_4,6,15,0.6,,0
enemy_3,6,20,0.6,,1
enemy_2,6,15,0.6,,0
enemy_4,6,15,0.6,,1
#reward,200,,,,
,,,Wave 12,,
enemy_4,0,20,0.6,0.5,1
enemy_1,6,15,0.6,0.5,0
enemy_3,6,15,0.6,0.5,1
enemy_4,6,20,0.6,0.5,0
#reward,200,,,,
,,,Wave 13,,
enemy_2,0,15,0.6,,0
enemy_1,0,15,0.6,,1
enemy_3,6,20,0.6,,0
enemy_4,6,20,0.6,,1
enemy_2,6,15,0.6,,0
enemy_3,6,20,0.6,,1
#horde,,,,,
#reward,200,,,,
,,,Wave 14,,
enemy_5,0,20,0.7,,0
enemy_5,30,20,0.7,,1
#reward,200,,,,
,,,Wave 15,,
enemy_5,0,25,0.6,,1
enemy_5,10,25,0.6,,0
#reward,200,,,,
,,,Wave 16,,
enemy_1,0,15,0.4,,0
enemy_5,5,10,0.4,,0
enemy_3,5,15,0.4,,0
enemy_4,5,20,0.4,,0
enemy_5,5,10,0.4,,1
enemy_5,5,10,0.4,,1
